R,Zinv,Sinv,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
302.9010000000,90.9708000000,322.3590000000,331.0250000000,0.4930000000,-0.1670000000,-0.0412000000,0.0010882800,0.0012352500,-0.0005483900,-0.0005552810,203.0250000000,234.8720000000,-48.7704000000,-40.5948000000
303.4220000000,91.4713000000,323.0810000000,330.3030000000,0.4940000000,-0.1650000000,-0.0403000000,0.0010847700,0.0012301700,-0.0005410150,-0.0005476230,202.7400000000,234.2600000000,-47.3808000000,-39.2466000000
303.9410000000,91.9736000000,323.8030000000,329.5810000000,0.4960000000,-0.1630000000,-0.0395000000,0.0010812600,0.0012250900,-0.0005336400,-0.0005399640,202.4550000000,233.6480000000,-45.9913000000,-37.8984000000
304.4580000000,92.4778000000,324.5260000000,328.8580000000,0.4970000000,-0.1610000000,-0.0387000000,0.0010781100,0.0012199900,-0.0005266540,-0.0005327060,202.2220000000,233.0060000000,-44.6641000000,-36.6396000000
304.9730000000,92.9838000000,325.2480000000,328.1360000000,0.4980000000,-0.1590000000,-0.0380000000,0.0010749800,0.0012148600,-0.0005196690,-0.0005254490,201.9940000000,232.3580000000,-43.3355000000,-35.3824000000
305.4870000000,93.4918000000,325.9700000000,327.4140000000,0.4990000000,-0.1580000000,-0.0373000000,0.0010721000,0.0012098100,-0.0005130640,-0.0005185840,201.7970000000,231.7010000000,-42.0737000000,-34.2066000000
305.9980000000,94.0015000000,326.6920000000,326.6920000000,0.5000000000,-0.1560000000,-0.0367000000,0.0010692100,0.0012047600,-0.0005064590,-0.0005117190,201.5990000000,231.0440000000,-40.8121000000,-33.0307000000
306.5080000000,94.5132000000,327.4150000000,325.9690000000,0.5010000000,-0.1540000000,-0.0361000000,0.0010665500,0.0011998100,-0.0005002240,-0.0005052360,201.4260000000,230.3820000000,-39.6171000000,-31.9325000000
307.0160000000,95.0266000000,328.1370000000,325.2470000000,0.5020000000,-0.1520000000,-0.0356000000,0.0010638900,0.0011948500,-0.0004939880,-0.0004987530,201.2520000000,229.7200000000,-38.4221000000,-30.8344000000
307.5220000000,95.5419000000,328.8590000000,324.5250000000,0.5030000000,-0.1510000000,-0.0352000000,0.0010614200,0.0011900100,-0.0004881120,-0.0004926410,201.0960000000,229.0600000000,-37.2935000000,-29.8102000000
308.0260000000,96.0590000000,329.5810000000,323.8030000000,0.5040000000,-0.1490000000,-0.0348000000,0.0010589700,0.0011851500,-0.0004822350,-0.0004865290,200.9450000000,228.3940000000,-36.1634000000,-28.7875000000
308.5290000000,96.5779000000,330.3040000000,323.0800000000,0.5060000000,-0.1480000000,-0.0344000000,0.0010567500,0.0011803600,-0.0004767060,-0.0004807760,200.8220000000,227.7190000000,-35.0945000000,-27.8395000000
309.0290000000,97.0987000000,331.0260000000,322.3580000000,0.5070000000,-0.1460000000,-0.0341000000,0.0010545300,0.0011755600,-0.0004711760,-0.0004750240,200.6990000000,227.0440000000,-34.0256000000,-26.8915000000
309.5280000000,97.6212000000,331.7480000000,321.6360000000,0.5080000000,-0.1450000000,-0.0339000000,0.0010525200,0.0011708400,-0.0004659810,-0.0004696190,200.6000000000,226.3630000000,-33.0163000000,-26.0150000000
310.0240000000,98.1456000000,332.4700000000,320.9140000000,0.5090000000,-0.1430000000,-0.0337000000,0.0010504900,0.0011661400,-0.0004607860,-0.0004642140,200.4960000000,225.6860000000,-32.0085000000,-25.1371000000
310.5190000000,98.6717000000,333.1930000000,320.1910000000,0.5100000000,-0.1420000000,-0.0335000000,0.0010485800,0.0011615900,-0.0004559130,-0.0004591430,200.3960000000,225.0210000000,-31.0636000000,-24.3224000000
311.0120000000,99.1996000000,333.9150000000,319.4690000000,0.5110000000,-0.1410000000,-0.0334000000,0.0010466400,0.0011570600,-0.0004510390,-0.0004540730,200.2920000000,224.3610000000,-30.1201000000,-23.5062000000
311.5030000000,99.7293000000,334.6370000000,318.7470000000,0.5120000000,-0.1400000000,-0.0333000000,0.0010448800,0.0011526300,-0.0004464740,-0.0004493230,200.2060000000,223.6990000000,-29.2329000000,-22.7549000000
311.9920000000,100.2610000000,335.3590000000,318.0250000000,0.5130000000,-0.1380000000,-0.0333000000,0.0010431500,0.0011481600,-0.0004419100,-0.0004445730,200.1260000000,223.0310000000,-28.3442000000,-22.0052000000
